TaxonName,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
Spermophilus richardsonii,3,5.784132827,NA,5.351715943,3.126760536,5.899897354,5.084319367,5.530618856,3,4.248495242,3.126760536,1,NA,NA,NA,2.026831591,0,NA,1.830980182,4.019980147,NA,2.414497504,NA,2.302585093,1,1,3.083926515,4.65396035,NA,NA
Spermophilus saturatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spermophilus spilosoma,3,4.669458676,NA,4.980176087,3.295836866,NA,4.716532654,5.19462213,6,NA,NA,2,NA,NA,NA,1.937301775,0.693147181,NA,NA,NA,NA,2.432451812,NA,NA,1,2,3.625132774,3.80666249,NA,NA
Spermophilus tereticaudus,3,4.994302639,NA,5.040388252,3.33220451,NA,4.538175317,5.117993812,4,NA,3.316728225,2,NA,NA,NA,1.843719208,0,NA,1.345472367,NA,NA,2.404849677,NA,2.302585093,1,2,3.264823802,NA,NA,NA
Spermophilus variegatus,3,6.571694958,NA,5.611301622,NA,NA,NA,NA,6,NA,3.401197382,2,NA,NA,NA,1.595338988,0.223143551,NA,2.054123734,NA,NA,2.458133242,NA,2.302585093,1,2,3.741581113,NA,NA,NA
Spermophilus washingtoni,3,5.371056545,NA,5.111987788,NA,NA,NA,NA,7,NA,NA,2,NA,NA,NA,2.064327904,0,NA,NA,NA,NA,NA,NA,2.302585093,1,2,NA,3.496204485,NA,NA
Ammospermophilus harrisii,3,4.840795515,NA,5.069972813,3.449987546,NA,NA,NA,4,NA,3.373826185,NA,NA,NA,NA,1.843719208,0,NA,1.278152203,NA,NA,2.300248179,NA,NA,NA,1,3.650071932,NA,NA,NA
Ammospermophilus interpres,3,4.723219853,NA,5.019528961,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,2.23644529,0.223143551,NA,NA,NA,NA,NA,NA,2.302585093,1,2,NA,NA,NA,NA
Ammospermophilus leucurus,3,4.643621372,NA,5.01820656,3.555348061,NA,4.542017371,4.561218298,5,NA,3.380314171,2,NA,NA,NA,2.079441542,0.223143551,4.242764567,1.064710737,NA,NA,2.43582145,NA,NA,1,2,4.010596902,3.555062306,NA,NA
Ammospermophilus nelsoni,3,5.077795376,NA,5.12622333,NA,NA,NA,NA,5,NA,3.258096538,2,NA,NA,NA,2.186051277,0,4.189654742,1.583093937,NA,NA,2.435930209,1.945910149,2.63905733,1,2,3.101352168,3.713572067,NA,NA
Cynomys gunnisoni,3,6.682020874,NA,5.631641797,NA,NA,NA,NA,5,NA,3.3891248,2,NA,NA,NA,1.499623046,0,NA,NA,NA,2.077856615,2.445326087,1.731655545,2.302585093,1,2,3.32168154,NA,NA,NA
Cynomys leucurus,3,6.870842301,NA,5.728442566,NA,NA,NA,NA,1,NA,3.414113607,2,NA,NA,NA,1.686398954,0,NA,NA,NA,NA,2.454685199,NA,NA,1,1,3.166845173,NA,NA,NA
Cynomys ludovicianus,3,6.680917412,NA,5.683715813,3.465735903,NA,6.046591733,7.014185223,4,6.263188717,3.510350696,2,NA,NA,NA,1.488399584,0,4.624972813,2.72392355,NA,1.268636241,2.558640641,1.81319475,2.079441542,1,1,3.571848332,4.816969636,NA,NA
Cynomys parvidens,3,6.802372541,NA,5.664591094,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1.587192303,0,NA,NA,NA,NA,2.432451812,NA,2.302585093,1,1,NA,NA,NA,NA
Marmota broweri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marmota caligata,NA,7.720333026,NA,NA,NA,NA,NA,NA,NA,6.572100708,3.401197382,NA,NA,NA,NA,1.541159072,-0.693147181,NA,NA,NA,NA,2.592033697,1.098612289,NA,NA,NA,2.898850119,NA,NA,NA
Marmota flaviventris,3,8.218714377,NA,6.020537795,NA,6.593044534,7.343555587,8.365206834,4,5.878939539,3.414113607,2,NA,NA,21.36000936,1.539015448,0,4.564348191,3.520164901,4.709530201,NA,2.592033697,NA,2.302585093,1,1,2.924017738,6.081647971,NA,NA
Marmota monax,3,8.263830095,NA,6.02286631,NA,NA,6.496020558,7.882314919,3,5.878939539,3.449987546,1,NA,NA,NA,1.410986974,0,4.787491743,3.302849259,4.48863637,NA,2.454685199,0,NA,1,2,3.525795806,5.513388423,5.347107531,NA
Marmota olympus,NA,8.748303325,NA,NA,NA,NA,NA,NA,NA,6.572100708,NA,NA,NA,NA,NA,1.386294361,-0.693147181,NA,NA,NA,NA,2.653359654,1.098612289,NA,NA,NA,3.262633275,NA,NA,NA
Marmota vancouverensis,3,8.562631076,NA,6.145986587,NA,NA,NA,NA,4,6.572100708,3.454738149,2,NA,NA,NA,1.278152203,NA,NA,NA,NA,NA,2.669100929,2.079441542,NA,1,1,NA,NA,NA,NA
Tamias alpinus,NA,3.598407551,NA,4.650621449,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1.504077397,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
Tamias amoenus,NA,3.924544286,NA,4.77119297,3.449987546,5.899897354,4.567156744,4.044804117,7,NA,3.416414347,2,NA,NA,19.10497317,1.60743591,0,4.127134385,0.963174318,NA,NA,2.420322649,NA,NA,2,2,3.475750748,NA,NA,NA
Tamias bulleri,NA,4.605170186,NA,4.911551336,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.887891257,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Tamias cinereicollis,NA,4.12049952,NA,4.852030264,NA,NA,NA,NA,6,NA,3.407510744,2,NA,NA,NA,1.587192303,0,NA,NA,NA,NA,NA,NA,NA,2,2,3.494412855,NA,NA,NA
Tamias dorsalis,3,4.153556422,NA,4.831349126,3.135494216,NA,NA,NA,5,NA,3.384051223,1,NA,NA,NA,1.60743591,0,NA,NA,NA,NA,NA,NA,2.079441542,2,1,3.107232506,NA,NA,NA
Tamias durangae,NA,4.442533603,NA,4.897167933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867100488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamias merriami,3,4.314416735,NA,4.897466596,NA,NA,4.366278278,4.317488114,5,NA,3.507657293,NA,NA,NA,NA,1.504077397,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Tamias minimus,3,3.758172281,NA,4.714562563,3.295836866,NA,4.286753954,3.824284091,4,NA,3.373826185,3,NA,NA,19.10497317,1.599387577,0,4.330206886,0.819779831,3.671733295,NA,2.418567523,NA,2.079441542,2,2,3.353401164,NA,NA,NA
